Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
01/01/2020,"APT 1 LEE HOUSE, STRAND LANE  THE QUAY, CARRICK ON SUIR",,Tipperary,"�120,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/01/2020,"Lands at Cliffor'd Field, Treanoughtragh, Glenbeigh",,Kerry,"�248,681.00",No,Yes,New Dwelling house /Apartment,
01/01/2020,"ROSSACOOSANE, TEMPLENOE, KENMARE",,Kerry,"�450,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/01/2020,"Site 4, Clifford's Field, Treanoughtragh",,Kerry,"�286,950.00",No,Yes,New Dwelling house /Apartment,
02/01/2020,"105 DONAGHMORE, THE ANCHORAGE, BETTYSTOWN",,Meath,"�125,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2020,"109 Cedar Walk, Castleoaks, Dublin Road",,Carlow,"�211,410.00",No,Yes,New Dwelling house /Apartment,
02/01/2020,"11 OAK GLADE COURT, BLESSINGTON RD, NAAS",,Kildare,"�204,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2020,"12 WHITECLIFF, WHITECHURCH RD, RATHFARNHAM DUBLIN 16",Dublin 16,Dublin,"�565,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2020,"125 MILL TOWN HALL, MT ST ANNES, MILLTOWN",Dublin 6,Dublin,"�588,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2020,"13 BLOCK C, THE HARBOUR, CANAL SIDE",,Kildare,"�40,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2020,"15 BLOCK C, THE HARBOUR CANALSIDE, ATHY",,Kildare,"�40,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2020,"16 BLOCK C, THE HARBOUR CANALSIDE, ATHY",,Kildare,"�52,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2020,"16 CHERRY DR, GLENCAIRIN, DOORADOYLE",,Limerick,"�242,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/01/2020,"16 Marlmount Walk, Dundalk",,Louth,"�233,481.00",No,Yes,New Dwelling house /Apartment,
